Channel width, pr, accuracy : 1, 0, 72.834 
Channel width, pr, accuracy : 1, 10, 72.584
Channel width, pr, accuracy : 1, 20, 72.554
Channel width, pr, accuracy : 1, 30, 72.31
Channel width, pr, accuracy : 1, 40, 71.72
Channel width, pr, accuracy : 1, 50, 70.73
Channel width, pr, accuracy : 1, 60, 69.106
Channel width, pr, accuracy : 1, 70, 66.194
Channel width, pr, accuracy : 1, 80, 60.754
Channel width, pr, accuracy : 1, 90, 46.736
Channel width, pr, accuracy : 1, 95, 32.924
Channel width, pr, accuracy : 0.75, 10, 69.832
Channel width, pr, accuracy : 0.75, 20, 69.632
Channel width, pr, accuracy : 0.75, 30, 69.286
Channel width, pr, accuracy : 0.75, 40, 68.69
Channel width, pr, accuracy : 0.75, 50, 67.442
Channel width, pr, accuracy : 0.75, 60, 65.52
Channel width, pr, accuracy : 0.75, 70, 62.22
Channel width, pr, accuracy : 0.75, 80, 55.906
Channel width, pr, accuracy : 0.75, 90, 41.652
Channel width, pr, accuracy : 0.75, 95, 28.514
Channel width, pr, accuracy : 0.5, 10, 64.324
Channel width, pr, accuracy : 0.5, 20, 64.09
Channel width, pr, accuracy : 0.5, 30, 63.596
Channel width, pr, accuracy : 0.5, 40, 63.012
Channel width, pr, accuracy : 0.5, 50, 61.536
Channel width, pr, accuracy : 0.5, 60, 59.344
Channel width, pr, accuracy : 0.5, 70, 55.912
Channel width, pr, accuracy : 0.5, 80, 49.588
Channel width, pr, accuracy : 0.5, 90, 35.962
Channel width, pr, accuracy : 0.5, 95, 22.952
Channel width, pr, accuracy : 0.25, 10, 52.112
Channel width, pr, accuracy : 0.25, 20, 51.996
Channel width, pr, accuracy : 0.25, 30, 51.656
Channel width, pr, accuracy : 0.25, 40, 50.966
Channel width, pr, accuracy : 0.25, 50, 49.75
Channel width, pr, accuracy : 0.25, 60, 47.802
Channel width, pr, accuracy : 0.25, 70, 44.578
Channel width, pr, accuracy : 0.25, 80, 39.538
Channel width, pr, accuracy : 0.25, 90, 29.48
Channel width, pr, accuracy : 0.25, 95, 18.67
