Channel width, pr, bit-width, accuracy : 1, 0, 32, 72.834
Channel width, pr, bit-width, accuracy : 1, 10, 32, 72.584
Channel width, pr, bit-width, accuracy : 1, 30, 32, 72.31
Channel width, pr, bit-width, accuracy : 1, 50, 32, 70.73
Channel width, pr, bit-width, accuracy : 1, 70, 32, 66.194
Channel width, pr, bit-width, accuracy : 1, 90, 32, 46.736
Channel width, pr, bit-width, accuracy : 0.75, 0, 32, 69.952
Channel width, pr, bit-width, accuracy : 0.75, 10, 32, 69.832
Channel width, pr, bit-width, accuracy : 0.75, 30, 32, 69.286
Channel width, pr, bit-width, accuracy : 0.75, 50, 32, 67.442
Channel width, pr, bit-width, accuracy : 0.75, 70, 32, 62.22
Channel width, pr, bit-width, accuracy : 0.75, 90, 32, 41.652
Channel width, pr, bit-width, accuracy : 0.5, 0, 32, 64.592
Channel width, pr, bit-width, accuracy : 0.5, 10, 32, 64.324
Channel width, pr, bit-width, accuracy : 0.5, 30, 32, 63.596
Channel width, pr, bit-width, accuracy : 0.5, 50, 32, 61.536
Channel width, pr, bit-width, accuracy : 0.5, 70, 32, 55.912
Channel width, pr, bit-width, accuracy : 0.5, 90, 32, 35.962
Channel width, pr, bit-width, accuracy : 0.25, 0, 32, 52.352
Channel width, pr, bit-width, accuracy : 0.25, 10, 32, 52.112
Channel width, pr, bit-width, accuracy : 0.25, 30, 32, 51.656
Channel width, pr, bit-width, accuracy : 0.25, 50, 32, 49.75
Channel width, pr, bit-width, accuracy : 0.25, 70, 32, 44.578
Channel width, pr, bit-width, accuracy : 0.25, 90, 32, 29.48
Channel width, pr, bit-width, accuracy : 1, 0, 32, 72.834
Channel width, pr, bit-width, accuracy : 1, 50, 32, 70.73
Channel width, pr, bit-width, accuracy : 0.75, 50, 32, 67.442
Channel width, pr, bit-width, accuracy : 1, 0, 32, 72.504
Channel width, pr, bit-width, accuracy : 1, 0, 32, 72.568
Channel width, pr, bit-width, accuracy : 1, 0, 32, 72.494
Channel width, pr, bit-width, accuracy : 1, 0, 32, 72.528
Channel width, pr, bit-width, accuracy : 1, 10, 32, 72.628
Channel width, pr, bit-width, accuracy : 1, 10, 32, 72.502
Channel width, pr, bit-width, accuracy : 1, 10, 32, 72.484
Channel width, pr, bit-width, accuracy : 1, 10, 32, 72.572
Channel width, pr, bit-width, accuracy : 1, 30, 32, 72.216
Channel width, pr, bit-width, accuracy : 1, 30, 32, 72.152
Channel width, pr, bit-width, accuracy : 1, 30, 32, 72.1
Channel width, pr, bit-width, accuracy : 1, 30, 32, 72.168
Channel width, pr, bit-width, accuracy : 1, 50, 32, 70.8
Channel width, pr, bit-width, accuracy : 1, 50, 32, 70.664
Channel width, pr, bit-width, accuracy : 1, 50, 32, 70.55
Channel width, pr, bit-width, accuracy : 1, 50, 32, 70.642
Channel width, pr, bit-width, accuracy : 1, 70, 32, 65.99
Channel width, pr, bit-width, accuracy : 1, 70, 32, 66.04
Channel width, pr, bit-width, accuracy : 1, 70, 32, 66.138
Channel width, pr, bit-width, accuracy : 1, 70, 32, 66.068
Channel width, pr, bit-width, accuracy : 1, 90, 32, 46.414
Channel width, pr, bit-width, accuracy : 1, 90, 32, 46.544
Channel width, pr, bit-width, accuracy : 1, 90, 32, 46.686
Channel width, pr, bit-width, accuracy : 1, 90, 32, 46.424
Channel width, pr, bit-width, accuracy : 0.75, 0, 32, 69.716
Channel width, pr, bit-width, accuracy : 0.75, 0, 32, 69.766
Channel width, pr, bit-width, accuracy : 0.75, 0, 32, 69.736
Channel width, pr, bit-width, accuracy : 0.75, 0, 32, 69.704
Channel width, pr, bit-width, accuracy : 0.75, 10, 32, 69.696
Channel width, pr, bit-width, accuracy : 0.75, 10, 32, 69.674
Channel width, pr, bit-width, accuracy : 0.75, 10, 32, 69.666
Channel width, pr, bit-width, accuracy : 0.75, 10, 32, 69.594
Channel width, pr, bit-width, accuracy : 0.75, 30, 32, 69.266
Channel width, pr, bit-width, accuracy : 0.75, 30, 32, 69.102
Channel width, pr, bit-width, accuracy : 0.75, 30, 32, 69.092
