Channel width, pr, bit-width, accuracy : 1, 0, 32, 72.834
Channel width, pr, bit-width, accuracy : 1, 0, 16, 72.586
Channel width, pr, bit-width, accuracy : 1, 0, 14, 72.658
Channel width, pr, bit-width, accuracy : 1, 0, 12, 72.596
Channel width, pr, bit-width, accuracy : 1, 0, 10, 72.448
Channel width, pr, bit-width, accuracy : 1, 0, 8, 64.932
Channel width, pr, bit-width, accuracy : 1, 10, 32, 72.584
Channel width, pr, bit-width, accuracy : 1, 10, 16, 72.72
Channel width, pr, bit-width, accuracy : 1, 10, 14, 72.724
Channel width, pr, bit-width, accuracy : 1, 10, 12, 72.67
Channel width, pr, bit-width, accuracy : 1, 10, 10, 72.324
Channel width, pr, bit-width, accuracy : 1, 10, 8, 65.762
Channel width, pr, bit-width, accuracy : 1, 30, 32, 72.31
Channel width, pr, bit-width, accuracy : 1, 30, 16, 72.2
Channel width, pr, bit-width, accuracy : 1, 30, 14, 72.318
Channel width, pr, bit-width, accuracy : 1, 30, 12, 72.048
Channel width, pr, bit-width, accuracy : 1, 30, 10, 71.812
Channel width, pr, bit-width, accuracy : 1, 30, 8, 67.526
Channel width, pr, bit-width, accuracy : 1, 50, 32, 70.73
Channel width, pr, bit-width, accuracy : 1, 50, 16, 70.714
Channel width, pr, bit-width, accuracy : 1, 50, 14, 70.692
Channel width, pr, bit-width, accuracy : 1, 50, 12, 70.57
Channel width, pr, bit-width, accuracy : 1, 50, 10, 69.912
Channel width, pr, bit-width, accuracy : 1, 50, 8, 65.636
Channel width, pr, bit-width, accuracy : 1, 70, 32, 66.194
Channel width, pr, bit-width, accuracy : 1, 70, 16, 65.952
Channel width, pr, bit-width, accuracy : 1, 70, 14, 65.984
Channel width, pr, bit-width, accuracy : 1, 70, 12, 65.428
Channel width, pr, bit-width, accuracy : 1, 70, 10, 63.52
Channel width, pr, bit-width, accuracy : 1, 70, 8, 53.474
Channel width, pr, bit-width, accuracy : 0.75, 0, 32, 69.952
