==> Resuming from checkpoint..
max :  tensor(15.99, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-12.28, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(20.38, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-23.39, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(15.35, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-12.42, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(63.09, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-62.21, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(8.81, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-9.15, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(13.71, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-22.99, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(37.01, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-43.99, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(6.22, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-5.09, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(15.39, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-14.89, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(48.60, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-49.84, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(9.82, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-9.50, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(19.19, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-19.48, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(21.50, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-29.47, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(3.93, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-4.65, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(13.10, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-12.60, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(28.74, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-30.98, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(2.72, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-4.56, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(9.18, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-6.84, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(45.94, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-42.93, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(5.62, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-8.06, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(16.54, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-24.08, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(17.10, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-15.15, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(3.03, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-3.65, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(7.59, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-11.46, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(19.80, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-17.25, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(2.58, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-2.24, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(4.71, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-5.23, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(19.53, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-20.55, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(2.45, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-2.16, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(4.26, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-4.81, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(28.62, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-24.48, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(4.05, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-5.70, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(19.52, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-18.23, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(15.44, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-15.92, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(2.76, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-3.12, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(6.22, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-5.43, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(22.23, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-25.06, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(3.75, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-2.07, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(5.83, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-4.30, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(27.26, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-30.58, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(3.53, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-3.55, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(11.11, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-10.99, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(15.99, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-15.38, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(2.20, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-3.62, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(5.34, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-5.96, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(24.18, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-18.00, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(3.54, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-2.86, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(4.69, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-4.80, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(26.61, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-33.62, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(2.20, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-4.33, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(10.36, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-9.00, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(11.39, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-10.21, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(28.36, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-8.94, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(14.40, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-11.22, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(20.65, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-22.68, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(15.56, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-11.93, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(59.44, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-63.48, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(8.87, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-9.15, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(14.16, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-21.20, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(33.54, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-43.34, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(6.18, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-5.65, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(13.71, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-15.29, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(51.77, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-50.24, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(8.37, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-9.48, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(18.61, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-19.86, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(19.21, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-29.06, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(3.54, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-4.53, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(12.70, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-14.30, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(29.20, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-28.96, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(3.02, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-4.25, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(8.77, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-5.85, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(41.21, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-41.41, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(6.50, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-8.06, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(16.93, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-21.13, device='cuda:1', grad_fn=<MinBackward1>)
